feature,gain,pct_of_total_gain,cum_pct
v329,15.800159931182861,0.0022776854451743906,99.96789195310747
v181,15.74974012374878,0.0022704171351040315,99.97016237024258
v244,15.526570320129395,0.0022382459029316845,99.9724006161455
v302,15.473399639129639,0.0022305810383511596,99.97463119718385
v22,15.27908992767334,0.0022025701572228875,99.97683376734108
v157,13.70723009109497,0.0019759773703636268,99.97880974471144
v191,13.666709899902344,0.0019701361478622658,99.9807798808593
v111,11.97189998626709,0.0017258193884473316,99.98250570024776
id_28,11.70166015625,0.0016868627367287914,99.98419256298449
id_29,10.090620040893555,0.001454621883577836,99.98564718486807
v297,9.61620044708252,0.001386231524971634,99.98703341639305
v158,9.343290328979492,0.001346889935611054,99.98838030632865
v246,9.01006007194519,0.001298852845502819,99.98967915917416
v92,8.296600341796875,0.001196003453461557,99.99087516262762
v250,7.985590219497681,0.0011511695257071465,99.99202633215333
v116,7.5610198974609375,0.00108996523111975,99.99311629738445
v174,6.307159900665283,0.0009092139806623717,99.99402551136511
v236,5.815189838409424,0.0008382936194038623,99.99486380498452
v98,5.754670143127441,0.0008295693514413519,99.99569337433596
v184,4.950920104980469,0.000713704083531455,99.9964070784195
v106,4.846049785614014,0.00069858641376785,99.99710566483326
v104,4.603209972381592,0.0006635796346898267,99.99776924446795
v114,4.32705020904541,0.0006237695899666569,99.99839301405791
v188,4.244379997253418,0.0006118521955245611,99.99900486625343
id_12,3.5931999683380127,0.0005179807865952326,99.99952284704003
v197,3.3099799156188965,0.00047715295987262285,99.9999999999999
v328,0.0,0.0,99.9999999999999
v122,0.0,0.0,99.9999999999999
id_22,0.0,0.0,99.9999999999999
v153,0.0,0.0,99.9999999999999
v138,0.0,0.0,99.9999999999999
v88,0.0,0.0,99.9999999999999
v89,0.0,0.0,99.9999999999999
id_27,0.0,0.0,99.9999999999999
m1,0.0,0.0,99.9999999999999
v120,0.0,0.0,99.9999999999999
v173,0.0,0.0,99.9999999999999
v119,0.0,0.0,99.9999999999999
v118,0.0,0.0,99.9999999999999
v117,0.0,0.0,99.9999999999999
id_34,0.0,0.0,99.9999999999999
id_35,0.0,0.0,99.9999999999999
v113,0.0,0.0,99.9999999999999
v107,0.0,0.0,99.9999999999999
has_identity,0.0,0.0,99.9999999999999
v155,0.0,0.0,99.9999999999999
v1,0.0,0.0,99.9999999999999
v177,0.0,0.0,99.9999999999999
v327,0.0,0.0,99.9999999999999
v325,0.0,0.0,99.9999999999999
v14,0.0,0.0,99.9999999999999
v27,0.0,0.0,99.9999999999999
v28,0.0,0.0,99.9999999999999
v305,0.0,0.0,99.9999999999999
v41,0.0,0.0,99.9999999999999
v269,0.0,0.0,99.9999999999999
v255,0.0,0.0,99.9999999999999
v254,0.0,0.0,99.9999999999999
v249,0.0,0.0,99.9999999999999
v247,0.0,0.0,99.9999999999999
v241,0.0,0.0,99.9999999999999
v237,0.0,0.0,99.9999999999999
v65,0.0,0.0,99.9999999999999
v68,0.0,0.0,99.9999999999999
v196,0.0,0.0,99.9999999999999
v195,0.0,0.0,99.9999999999999
v194,0.0,0.0,99.9999999999999
v71,0.0,0.0,99.9999999999999
v240,0.0,0.0,99.9999999999999
